lambda_nm,a_R,b_R,c_R,a_G,b_G,c_G,a_B,b_B,c_B,alpha_1,alpha_2,alpha_3,R2,RMSE
513.232422,1.474670e-01,-2.252731e+00,1.176059e+01,-5.968547e-01,2.191813e+01,-5.987607e+00,-4.374489e-01,1.338115e+01,3.015726e+00,180.766217,205.292616,-224.641185,0.999671,58.018463
516.290039,2.124213e-01,-3.068339e+00,1.097399e+01,-5.647162e-01,2.107301e+01,-5.600720e+00,-3.444374e-01,9.696619e+00,5.816780e+00,153.886284,134.062962,-126.884151,0.999845,40.408923
519.451721,1.819899e-01,-2.611017e+00,8.571145e+00,-4.115505e-01,1.822579e+01,-3.957053e+00,-1.889857e-01,5.519479e+00,8.621157e+00,162.264983,107.152240,-81.546623,0.999887,33.258465
522.615784,1.463869e-01,-2.080531e+00,6.780942e+00,-3.750326e-01,1.637421e+01,-4.062951e+00,-1.324288e-01,3.053658e+00,9.433792e+00,183.933753,93.638371,-61.304375,0.999945,20.593629
525.679932,1.505716e-01,-2.206533e+00,7.537568e+00,-3.549886e-01,1.485033e+01,-5.512527e+00,-8.108979e-02,1.374377e+00,9.742321e+00,193.841494,87.560403,-63.870589,0.999722,39.289526
528.848389,1.466119e-01,-2.285592e+00,8.493170e+00,-2.865106e-01,1.336946e+01,-6.267896e+00,-7.285259e-02,1.137106e+00,9.118261e+00,143.884957,78.935214,-41.096843,0.999948,14.367339
532.019043,1.316522e-01,-2.124487e+00,8.241609e+00,-2.033945e-01,1.151333e+01,-5.305637e+00,-1.089824e-01,1.423482e+00,7.932932e+00,106.579138,71.834623,-28.881518,0.999784,24.813748
535.089539,1.009884e-01,-1.762240e+00,7.475661e+00,-5.745986e-02,8.514595e+00,-3.266655e+00,-9.281912e-02,9.232589e-01,7.187378e+00,69.389987,70.017252,2.778421,0.999885,15.604921
538.264465,4.277387e-02,-9.910691e-01,5.286074e+00,7.090509e-02,5.602315e+00,-1.371191e+00,-8.984079e-02,7.940379e-01,5.647454e+00,15.994344,71.669808,58.183569,0.999793,18.102343
541.338928,6.493038e-03,-5.547479e-01,4.397203e+00,9.763150e-02,3.786667e+00,-1.416492e-01,-1.058112e-01,9.534037e-01,4.418691e+00,-4.220900,78.949289,65.542023,0.999866,12.367557
544.517944,-2.625923e-02,-2.243203e-01,4.244195e+00,8.629479e-02,2.703901e+00,8.420780e-01,-1.135595e-01,1.082093e+00,3.934555e+00,-18.059959,84.234129,62.255652,0.999633,16.869671
547.699036,-4.232362e-02,1.416302e-01,3.359109e+00,6.206517e-02,2.003120e+00,1.216814e+00,-7.456559e-02,7.953168e-01,4.004990e+00,-54.930327,89.096834,94.315498,0.999665,13.392359
550.779358,-2.620655e-02,2.879285e-01,2.663863e+00,3.490559e-02,1.446396e+00,1.344491e+00,-1.770955e-02,3.545067e-01,4.321373e+00,234.856931,124.081463,-104.558521,0.999451,14.163388
553.964356,-1.272004e-02,1.270309e-01,2.557826e+00,2.490743e-02,1.057941e+00,1.518840e+00,-1.003709e-02,1.608768e-01,4.319699e+00,292.771188,140.732847,-150.108082,0.999680,9.053629
557.048523,-1.287972e-03,7.262257e-02,2.506222e+00,3.202142e-02,6.879178e-01,1.679213e+00,3.383487e-03,6.574420e-02,4.171671e+00,1306.211262,147.748832,-783.745860,0.999236,11.857471
560.237305,9.347106e-03,7.572164e-02,2.467291e+00,2.136096e-02,4.976396e-01,1.716060e+00,2.791437e-02,-1.275349e-01,4.484823e+00,536.273886,107.174373,-255.830595,0.999233,10.212522
563.428040,-3.921721e-03,2.049232e-01,2.219963e+00,1.463623e-02,2.912171e-01,1.940073e+00,6.361353e-03,6.700257e-02,4.242091e+00,376.278334,160.146545,-204.136764,0.999077,9.196661
566.517517,-8.036189e-03,2.664278e-01,2.108546e+00,1.632467e-02,1.554783e-01,2.019952e+00,-1.160524e-02,2.577662e-01,3.943021e+00,473.766529,88.273083,-207.289304,0.999103,7.484737
