lambda_nm,a_R,b_R,c_R,a_G,b_G,c_G,a_B,b_B,c_B,alpha_1,alpha_2,alpha_3,R2,RMSE
560.237305,4.637627e-03,1.144314e-01,1.787048e+00,8.749985e-03,-1.481924e-01,1.938442e+00,4.488595e-03,7.674666e-03,3.610070e+00,-83.343745,-87.979347,189.429992,0.428559,5.859287
563.428040,8.235504e-04,1.548338e-01,1.800286e+00,1.359572e-03,-4.034458e-02,1.638294e+00,1.529528e-03,4.495472e-02,3.588597e+00,10.577182,111.994128,24.028522,0.105612,5.223292
566.517517,-8.631310e-04,1.637826e-01,1.956025e+00,-3.486952e-03,1.480429e-02,1.449550e+00,-1.036328e-04,4.874919e-02,3.655929e+00,-39.159477,-29.024702,133.117942,0.165316,6.623620
569.711792,-2.114030e-03,2.166899e-01,1.853000e+00,-2.142796e-03,6.600351e-03,1.415048e+00,7.603353e-04,4.978475e-02,3.628845e+00,-11.548353,66.133521,79.542395,0.314786,5.412445
572.804810,-7.580062e-03,3.745264e-01,1.690420e+00,-4.277227e-03,7.290363e-02,1.399463e+00,-5.369666e-03,1.870362e-01,3.503966e+00,-54.086239,-94.687353,159.392693,0.499858,6.334760
576.002625,-1.578797e-02,5.724021e-01,1.495308e+00,1.083027e-02,-2.604233e-02,1.766160e+00,-2.125467e-03,2.397194e-01,3.601410e+00,-50.740619,-32.961845,115.917212,0.353057,7.177559
579.202148,-1.080940e-02,6.669449e-01,1.517596e+00,3.184708e-02,-9.618292e-02,2.039813e+00,-2.567357e-04,3.017776e-01,3.606680e+00,-56.225061,-18.150240,130.542961,0.812231,4.971684
582.300049,4.236621e-02,3.741213e-01,2.361251e+00,1.605628e-02,2.764809e-01,1.519375e+00,-5.544773e-03,3.848252e-01,3.562846e+00,210.386408,-483.726917,157.024465,0.955224,5.259695
585.502869,1.264463e-01,4.305922e-01,2.545698e+00,-1.170149e-02,6.982644e-01,1.067100e+00,-1.292853e-02,4.720133e-01,3.397644e+00,3.928758,-6.728184,66.429812,0.986917,8.347988
588.603943,2.194145e-01,1.530287e+00,1.862187e+00,-2.860308e-02,9.103284e-01,9.885814e-01,-1.631235e-03,5.617920e-01,3.081183e+00,1.236372,6.713213,82.955500,0.998621,5.763583
591.809998,2.202604e-01,4.082556e+00,-1.190765e+00,-3.762633e-02,1.003190e+00,1.454820e+00,6.711613e-03,8.631308e-01,3.118115e+00,-3.048529,-25.872458,138.762151,0.996141,16.981369
595.017578,8.759021e-02,8.117783e+00,-5.804387e+00,-6.816394e-02,1.183915e+00,1.785240e+00,-1.576143e-02,1.454888e+00,2.854882e+00,1.521634,-21.034850,111.682764,0.999528,9.229690
598.123169,-1.081294e-01,1.295646e+01,-8.702237e+00,-8.095717e-02,9.703463e-01,2.347497e+00,-1.144750e-02,1.641749e+00,2.811746e+00,5.101129,-16.656340,103.493925,0.999633,11.863427
601.333740,-4.392008e-01,1.900672e+01,-1.087600e+01,-5.200450e-02,5.268527e-01,3.083780e+00,-7.505128e-02,2.747142e+00,1.567877e+00,-46.479140,-323.915412,497.392483,0.999478,20.450853
604.442078,-9.166107e-01,2.685087e+01,-1.150795e+01,5.560234e-04,-2.929118e-01,3.948016e+00,-1.555213e-01,3.819408e+00,9.639141e-01,146.894463,701.864145,-860.957530,0.999643,24.218693
607.655640,-1.407900e+00,3.458343e+01,-7.401503e+00,4.443114e-02,-8.826313e-01,4.380111e+00,-2.247798e-01,4.602471e+00,1.306591e+00,112.852831,428.825612,-627.875540,0.999934,15.111647
610.870483,-1.735045e+00,3.979549e+01,1.807748e+00,8.349546e-02,-1.164376e+00,4.631212e+00,-1.894887e-01,4.404977e+00,3.527098e+00,280.615833,1436.679511,-1952.298825,0.999929,22.497167
613.982910,-2.019569e+00,4.345599e+01,1.037818e+01,9.384038e-02,-1.066386e+00,3.728004e+00,-1.567492e-01,4.008796e+00,5.490328e+00,382.815404,3316.489200,-2943.594939,0.999891,38.721045
617.200500,-2.675561e+00,5.104259e+01,8.906760e+00,2.199657e-03,1.074373e-01,1.189910e+00,-2.738336e-01,5.550859e+00,3.961750e+00,3450.437198,84246.960441,-33038.526880,0.999850,62.731012
620.315430,-2.406786e+00,4.869108e+01,2.901772e+00,-8.438793e-02,1.299126e+00,7.141084e-02,-1.208276e-01,4.473909e+00,3.296088e+00,211.157186,-5986.448877,-43.967039,0.999923,58.813777
623.535522,-1.470488e+00,3.665785e+01,-3.797032e+00,-3.871709e-02,6.760045e-01,-7.680587e-02,1.287985e-01,1.281642e+00,1.857576e+00,228.837010,-8102.331714,167.211613,0.999972,47.374222
626.756958,-8.127704e-01,2.500147e+01,-1.013032e+01,2.377360e-02,-2.780626e-01,7.347529e-01,1.563093e-01,-1.537431e-01,5.608310e-01,185.974593,2066.842541,617.647851,0.999961,70.224565
629.875488,-1.613603e-01,1.282688e+01,-8.048246e+00,4.468131e-02,-6.262689e-01,2.357658e+00,1.454991e-01,-9.886717e-01,2.552451e+00,373.748978,1164.657786,61.664254,0.999908,110.807580
633.099243,1.493619e-01,4.743413e+00,-1.893950e+00,1.960905e-02,-3.592412e-01,1.918061e+00,6.839972e-02,-7.466713e-01,3.799209e+00,562.694745,6131.606794,-2797.423404,0.999883,83.874129
636.324158,1.770977e-01,1.096999e+00,2.878084e+00,-1.872010e-02,1.025882e-01,8.616728e-01,1.831913e-02,-4.605230e-01,4.356316e+00,470.911371,3054.344908,-877.911082,0.999831,50.284129
639.446045,1.188882e-01,2.479259e-02,3.592618e+00,-3.009872e-02,2.974363e-01,9.563324e-01,3.724760e-02,-6.300580e-01,4.575249e+00,439.353306,950.502281,-519.883904,0.999706,32.895089
642.673157,4.687984e-02,8.382543e-02,2.492622e+00,-9.059641e-03,1.168927e-01,1.433470e+00,3.048758e-02,-4.331825e-01,3.944739e+00,484.846035,628.023378,-486.650878,0.998857,33.917846
645.797058,1.484893e-02,1.786498e-01,2.504990e+00,1.112024e-02,-9.276604e-02,1.282028e+00,-1.290548e-02,9.438640e-02,3.376957e+00,622.675000,-822.870012,-74.485765,0.999515,12.163551
649.026184,2.262246e-02,1.897798e-02,2.722520e+00,1.689555e-02,-1.489954e-01,1.284202e+00,-8.422021e-03,6.150497e-02,3.549862e+00,474.654382,-622.631676,-72.955369,0.997716,14.630481
652.256348,9.603579e-03,1.172425e-01,2.210526e+00,2.290025e-02,-2.284753e-01,1.616062e+00,-1.946730e-03,4.577972e-02,3.557856e+00,303.497210,-123.103737,-59.100745,0.997847,8.448270
655.383118,-1.557065e-02,3.309131e-01,1.657448e+00,2.190272e-02,-2.871823e-01,1.955005e+00,-3.825414e-03,4.511101e-02,3.670975e+00,299.183748,178.071532,-163.750902,0.996083,7.029974
658.615173,-7.643838e-03,2.005887e-01,1.766574e+00,1.718589e-02,-2.614903e-01,2.044376e+00,1.009039e-02,-1.125744e-01,4.002420e+00,469.223074,426.797906,-377.397259,0.986994,8.026932
661.743713,9.239697e-03,5.545759e-02,1.825900e+00,1.421472e-02,-2.254612e-01,2.079220e+00,2.214005e-02,-2.084610e-01,4.113433e+00,-158.623339,-406.714554,336.049225,0.986259,5.079181
664.977478,1.451106e-02,2.768573e-02,1.831258e+00,1.159660e-02,-2.000708e-01,1.999950e+00,1.984409e-02,-1.841146e-01,4.053574e+00,-72.659025,-243.115564,198.183112,0.980991,4.314680
668.211975,8.343840e-03,6.200363e-02,1.822880e+00,1.498109e-03,-7.647898e-02,1.677735e+00,1.198897e-02,-1.235243e-01,4.077714e+00,91.224860,115.787163,-39.980439,0.829066,8.927917
671.343018,-5.612127e-04,1.312097e-01,1.773524e+00,-5.102265e-03,-6.363749e-03,1.545353e+00,4.118559e-03,-3.982738e-02,3.931929e+00,87.691808,99.863259,-24.916753,0.833979,6.258304
674.579102,-6.766414e-03,1.716327e-01,1.692607e+00,-1.529788e-03,-5.237206e-02,1.717659e+00,9.754857e-04,-9.131410e-04,3.769597e+00,15.800791,-28.973247,91.346187,0.945670,3.055426
677.711548,-3.846841e-03,1.486000e-01,1.637611e+00,2.282197e-03,-8.324675e-02,1.843748e+00,5.331473e-03,-4.427207e-02,3.827199e+00,105.719783,132.708534,-39.070091,0.740478,5.207286
680.949036,2.966366e-03,9.445959e-02,1.659122e+00,6.741690e-04,-5.592797e-02,1.786291e+00,4.215989e-03,-3.230708e-02,3.792609e+00,188.504140,404.443852,-213.117836,0.232273,7.043167
