lambda_nm,a_R,b_R,c_R,a_G,b_G,c_G,a_B,b_B,c_B,alpha_1,alpha_2,alpha_3,R2,RMSE
610.870483,7.402541e-04,1.210191e-02,2.067492e+00,2.403203e-03,-4.042531e-02,1.994109e+00,-7.540601e-03,1.163744e-01,3.939192e+00,8.411723,95.078649,19.975749,0.079402,5.243494
613.982910,3.527981e-06,1.833240e-02,2.090682e+00,-4.447877e-04,-1.283134e-02,1.913492e+00,-1.261168e-02,1.760928e-01,3.837667e+00,83.940628,40.692939,4.535195,0.184102,6.096936
617.200500,-7.936082e-04,2.330495e-02,2.063623e+00,-1.329441e-03,-4.103882e-03,1.907358e+00,-1.379529e-02,1.798214e-01,3.822441e+00,50.518325,55.210755,2.701385,0.034922,6.661955
620.315430,-1.753300e-03,1.397024e-02,2.213366e+00,-1.104255e-03,-2.182296e-02,2.086804e+00,-3.019677e-03,2.733773e-02,4.167589e+00,-738.870490,42.701552,414.394933,0.000566,5.059635
623.535522,7.600298e-04,-2.747261e-02,2.357926e+00,1.373223e-03,-6.035963e-02,2.224060e+00,5.986449e-03,-9.014429e-02,4.417798e+00,349.890340,-121.584592,-66.391472,0.089029,7.974275
626.756958,1.794814e-03,-2.465164e-02,2.220075e+00,-9.754007e-04,-1.168280e-02,2.010480e+00,3.759909e-03,-5.360643e-02,4.223452e+00,1056.843873,102.565990,-543.769236,0.225746,5.518139
629.875488,-3.161784e-03,4.041246e-02,2.007613e+00,-3.409028e-03,3.186792e-02,1.908254e+00,-1.781130e-04,-1.143263e-03,4.068883e+00,71.021830,75.375103,-15.291476,0.331908,4.936828
633.099243,-4.664203e-03,5.298291e-02,2.013799e+00,-1.607843e-03,9.127138e-03,1.990817e+00,-9.947125e-04,2.238257e-03,4.098676e+00,-15.223288,-116.710689,128.274662,0.052235,4.417905
636.324158,-7.286156e-03,8.345024e-02,1.974601e+00,-2.806611e-03,1.855900e-02,1.951536e+00,-1.600261e-03,7.373784e-03,4.082102e+00,32.753176,-113.355332,92.759204,0.076742,5.797246
639.446045,-7.656148e-03,8.977930e-02,1.950455e+00,-2.928992e-03,2.098940e-02,1.945522e+00,-1.853813e-03,1.047394e-02,4.066084e+00,86.996989,-87.212515,33.504034,0.322574,6.851113
642.673157,-2.274063e-04,1.173538e-02,2.131531e+00,1.095498e-03,-3.845932e-02,2.097605e+00,7.772155e-04,-2.280244e-02,4.158668e+00,5591.486180,4789.447390,-5225.907178,0.062196,4.766314
645.797058,7.360662e-03,-6.276624e-02,2.244830e+00,3.569688e-03,-8.515993e-02,2.171327e+00,1.343639e-03,-1.359616e-02,4.107711e+00,-37.884079,11.386664,80.869653,0.611881,2.661541
649.026184,6.978827e-03,-5.487965e-02,2.168468e+00,9.252715e-04,-5.256007e-02,2.055497e+00,-9.017518e-04,2.844291e-02,3.958822e+00,-17.033154,25.535916,58.201712,0.070821,5.522658
652.256348,4.150762e-03,-3.653000e-02,2.140488e+00,-4.698999e-05,-2.459019e-02,2.010977e+00,-2.122946e-03,3.856478e-02,3.955950e+00,-46.238918,29.776611,77.368797,0.222780,4.853260
655.383118,7.342857e-03,-9.047630e-02,2.298523e+00,3.231149e-03,-5.839608e-02,2.147111e+00,1.409746e-03,-9.696447e-03,4.123397e+00,-64.468837,41.367430,75.465935,0.329995,2.464330
658.615173,4.768099e-03,-6.874744e-02,2.274760e+00,3.701587e-03,-5.788976e-02,2.109098e+00,6.577262e-04,-4.253482e-03,4.109255e+00,-107.785591,87.783002,62.744566,0.249230,2.864126
661.743713,-1.670254e-03,4.752439e-03,2.074055e+00,1.970752e-04,-8.212910e-03,1.941638e+00,-6.965607e-03,8.594587e-02,3.884035e+00,-137.107530,231.078107,20.381335,0.157520,4.921307
664.977478,1.232592e-03,-3.527119e-02,2.191749e+00,2.474413e-03,-4.217105e-02,2.059528e+00,-3.768418e-03,4.192982e-02,4.016313e+00,41.038325,-9.403836,30.769117,0.094166,6.852119
668.211975,-1.812448e-03,5.787921e-03,2.114264e+00,2.875647e-03,-3.293067e-02,2.010706e+00,-4.783044e-04,3.128520e-03,4.091364e+00,-34.663191,-50.519447,87.374341,0.012995,12.146645
671.343018,-5.993020e-03,5.372195e-02,2.024951e+00,1.994593e-03,-1.457983e-02,1.952159e+00,-4.251817e-03,4.170836e-02,4.013897e+00,-3183.928533,-3099.675360,3167.158291,0.882679,1.503182
674.579102,-1.497128e-03,-3.468083e-03,2.153114e+00,5.375375e-03,-6.240179e-02,2.089357e+00,-3.279026e-03,1.745401e-02,4.096483e+00,-103.610269,50.468957,109.709640,0.022275,4.193305
677.711548,3.484326e-03,-4.513811e-02,2.149264e+00,7.349843e-03,-8.121176e-02,2.118320e+00,-2.792526e-03,1.758065e-02,4.071428e+00,-303.875585,148.180322,150.020805,0.231584,5.149387
680.949036,-2.657367e-03,4.887942e-02,1.864829e+00,-8.477055e-05,1.778701e-02,1.870134e+00,-1.329849e-02,1.580679e-01,3.722970e+00,-139.171307,128.401255,63.621180,0.477854,3.739002
