"DutyCycle_percent","Green_peak_nm","Green_intensity","Red_peak_nm","Red_intensity","Blue_peak_nm","Blue_intensity"
"5","512.83","54.15","619.03","48.03","453.82","35.23"
"10","512.83","90.76","619.03","69.16","453.82","57.96"
"15","511.35","115.89","620.50","82.25","455.30","79.15"
"20","511.35","136.27","620.50","82.63","453.82","88.19"
"25","511.35","153.70","621.98","82.02","453.82","92.35"
"30","511.35","166.49","623.45","81.55","455.30","97.29"
"35","509.88","175.61","624.92","81.17","455.30","101.15"
"40","508.40","180.06","619.03","84.42","455.30","103.91"
"45","508.40","181.38","619.03","91.76","455.30","108.26"
"50","505.45","181.73","619.03","101.66","455.30","111.39"
"55","502.50","181.63","619.03","113.14","455.30","107.74"
"60","502.50","182.41","619.03","120.69","455.30","114.54"
"65","502.50","184.04","620.50","136.50","455.30","118.05"
"70","502.50","184.55","620.50","145.20","455.30","119.96"
"75","502.50","184.13","620.50","154.30","455.30","123.05"
"80","502.50","184.17","620.50","159.01","455.30","124.53"
"85","502.50","183.85","620.50","167.78","455.30","125.96"
"90","502.50","182.96","620.50","176","453.82","128.7"
"95","502.50","182.44","620.50","185.22","453.82","130.58"
"100","502.50","181.51","620.50","184.04","453.82","131.88"
