Grupo,Identificacao,Cor,Principal_RGB,Comprimento_Onda_Medio_nm,Desvio_Padrao_nm,Incerteza_Expandida_nm,Erro_Padrao_Media_nm,Min_nm,Max_nm,Range_nm,Intensidade_Media,Intensidade_Desvio_Padrao,Coeficiente_Variacao_Intensidade_%,Intensidade_Min,Intensidade_Max,Num_Detecoes,Taxa_Deteccao_%
29,RGB-1 (Azul),Azul,Sim,459.0115084102501,1.3996893655192058,0.13716955782088217,0.06998446827596029,456.69522090000004,461.6156921,4.920471199999952,13915.9575,478.4667614351551,3.438259720433575,12755.0,14825.0,400,100.0
41,RGB-2 (Verde),Verde,Sim,519.0549567902439,1.4671550889740896,0.1496990046191428,0.07637704317303204,516.6978149,521.5949097,4.897094799999991,6322.130081300813,82.7878009696812,1.309492210774745,6113.0,6567.0,369,100.0
65,RGB-3 (Vermelho),Vermelho,Sim,639.1257734204546,1.4190937968804211,0.13977180706793066,0.07131214646322993,636.7402954000002,641.632019,4.891723599999864,12078.35606060606,553.7156396642105,4.5843626142979135,10763.0,13276.0,396,100.0
1,Grupo 1,Azul,Não,319.0432022548813,1.4594426126590165,0.14693440171712244,0.07496653148832777,316.6467896,321.5875244,4.94073480000003,51.78364116094987,16.634910903907684,32.123872580153936,7.0,110.0,379,100.0
2,Grupo 2,Azul,Não,324.33672785518866,1.612840066699513,0.15351981799280123,0.0783264377514292,321.6826477,326.6358032,4.95315549999998,60.49764150943396,18.44818939147957,30.4940637869375,13.0,126.0,424,100.0
3,Grupo 3,Azul,Não,329.46437119320115,1.3319922800194164,0.13895379948540393,0.07089479565581833,327.30346680000014,331.5053406,4.201873799999873,51.26062322946176,14.165220558611784,27.633726759822935,6.0,102.0,353,100.0
4,Grupo 4,Azul,Não,334.19531687002655,1.393907653598321,0.1407081972658548,0.07178989656421163,331.6965332,336.5779724,4.881439200000045,49.734748010610076,13.82388031719381,27.795215357771024,10.0,112.0,377,100.0
5,Grupo 5,Azul,Não,339.1035845165312,1.4126881726751221,0.14414155318411348,0.07354160876740484,336.7695923,341.4706726,4.701080300000001,52.81571815718157,14.741934865292366,27.912021988264573,12.0,96.0,369,100.0
6,Grupo 6,Azul,Não,344.00336913057856,1.4044219686655235,0.14447755156937578,0.07371303651498765,341.7588196,346.56704710000014,4.808227500000157,55.58953168044077,13.022488010321451,23.426151681186813,20.0,94.0,363,100.0
7,Grupo 7,Azul,Não,348.9473918563132,1.4974694197006728,0.14749131261135753,0.07525066969967222,346.75958249999996,351.5787964,4.8192139000000225,56.22979797979798,16.328439768561484,29.038766552972326,5.0,113.0,396,100.0
8,Grupo 8,Azul,Não,353.97927932311984,1.3760737164622487,0.1423477302961569,0.07262639300824332,351.77175900000003,356.6018372,4.830078199999946,59.5208913649025,17.70124457597388,29.739548871090527,19.0,116.0,359,100.0
9,Grupo 9,Azul,Não,358.83215081031756,1.3949765738465958,0.14062971152927187,0.07174985282105707,356.6985474,361.539093,4.8405455999999845,59.34920634920635,18.642518981009705,31.411572500765217,14.0,130.0,378,100.0
10,Grupo 10,Azul,Não,363.99671610646766,1.4886191098120005,0.145521323074679,0.07424557299728521,361.829834,366.5840149,4.754180899999994,56.985074626865675,13.653889715334115,23.960466498883857,12.0,99.0,402,100.0
11,Grupo 11,Azul,Não,369.1883060439353,1.3852510039313917,0.14096055146865702,0.07191864870849848,366.6811523,371.63983149999996,4.958679199999949,52.99191374663073,14.26306662576175,26.91555299164603,15.0,97.0,371,100.0
